,username,date,content,user_location,bulan
4,PolsekPlaju3,2021-03-26 09:01:31+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/u21IEFeOJC",Sumatera Selatan,Maret
5,PolsekPlaju3,2021-03-26 09:00:12+00:00,"Walau sudah divaksin kita tetap harus mematuhi Protokol Kesehatan, vaksin meningkatkan imunitas dan mengurangi resiko tertular virus corona.

#AyoVaksinTetap5M
Bangkit Indonesia Sehat https://t.co/GIs1KqgjUH",Sumatera Selatan,Maret
6,PolsekPlaju3,2021-03-26 08:59:20+00:00,"Ada Potensi Terpapar Covid-19 Meski Sudah di Vaksin.

Vaksin tidak membuat kiat kita kebal dengan virus corona, namun vaksin meningkatkan imunitas dan mengurangi risiko penularan virus corona.

Jangan Abaikan, Selalu Terapkan 5M.

#AyoVaksinTetap5M
Bangkit Indonesia Sehat https://t.co/jJfTjeDDpb",Sumatera Selatan,Maret
7,PolsekPlaju3,2021-03-26 08:58:09+00:00,"Protokol Kesehatan Harus Tetap Digalakkan.

Vaksin membuat imun tubuh kita meningkat serta risiko tertular Covid-19 juga menurun namun bukan berarti kita kebal terhadap Covid-19.

Jangan Abaikan, Selalu Terapkan 5M.
#AyoVaksinTetap5M
Bangkit Indonesia Sehat https://t.co/FiN1qLxRlM",Sumatera Selatan,Maret
8,PolsekPlaju3,2021-03-26 08:56:49+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/xNLNniXTGb",Sumatera Selatan,Maret
9,PolsekPlaju3,2021-03-26 08:54:01+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/sf0C5LaetR",Sumatera Selatan,Maret
10,PolsekPlaju3,2021-03-26 02:23:05+00:00,"Payoo,..

Kakek,Nenek
Mang cek,bikcek 
Lindungi Diri dan Keluarga Dengan Suntik Vaksin COVID-19

Segera Datangi Puskesmas Terdekat.
Sukseskan Vaksinasi LANSIA.

VAKSIN COVID-19
AMAN DAN HALAL
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@irvanprawira https://t.co/CGTs2N1CAH",Sumatera Selatan,Maret
11,PolsekPlaju3,2021-03-25 10:56:51+00:00,"Ayo!!!

Sehatkan Orang Tua Kita
Sukseskan Vaksinasi LANSIA
JANGAN ADA KERAGUAN!!
Karena Vaksin COVID-19
Aman &amp; Halal
.
.
JAGOAN PALEMBANG
JAGO PALEMBANG!
.
#polripresisi
#PolisiDulurKito
@DivHumas_Polri
@PolisiSumsel
@irvanprawira
@palembangpolice https://t.co/rDft1Lgx9C",Sumatera Selatan,Maret
12,HugoBAR,2021-03-25 07:58:04+00:00,"Kami sudah divaksin.
Rabu, 24 Maret 2021 💉

⛳️ SMB II International Airport

#vaksin #vaksìncovid19 #vaksìnasicovid19 #angkasapura2 #garudaindonesia #citilink #gapuraangkasa https://t.co/HdCqUStEbn",Sumatera Selatan,Maret
13,Fathul_Patoel,2021-03-25 02:49:19+00:00,"https://t.co/kDim014kY5
Video bagus jg terkait Vaksin Sinovac dan AstraZeneca.",Sumatera Selatan,Maret
