,username,date,content,user_location,bulan
42,poncobasah,2021-06-29 01:23:44+00:00,"Menkes Budi Sebut Vaksin yang Dipakai Indonesia Efektif Lawan Covid-19 Varian Delta. Doa Untuk Bangsaku
https://t.co/qUWsP0oqHl",Gorontalo,Januari
43,GilangTabone,2021-06-29 01:21:32+00:00,"yang so vaksin tetap jaga protokol kesehatan sob. 

Doa Untuk Bangsaku https://t.co/HAksUC5vOY",Gorontalo,Januari
44,LaraswatiNovela,2021-06-28 02:12:58+00:00,"Sukseskan program Vaksin dan disiplin menjalani protokol kesehatan.

Bersatu Kita Teguh https://t.co/TeqXdgumIT",Gorontalo,Januari
45,LaraswatiNovela,2021-06-28 02:08:56+00:00,"Mari bersama jalankan protokol kesehatan dengan ketat dan melaksanakan vaksin Covid-19

Bersatu Kita Teguh https://t.co/vzgRmAIcAu",Gorontalo,Januari
46,LaraswatiNovela,2021-06-28 02:04:16+00:00,"Bersama kita sukseskan program Vaksin untuk Indonesia sehat.

Bersatu Kita Teguh https://t.co/2JENG0MnmW",Gorontalo,Januari
47,P3rsada27,2021-06-28 01:39:06+00:00,"Sukseskan program vaksin untuk memutus mata rantai penyebaran Covid-19

Bersatu Kita Teguh https://t.co/YWdL6SSkEg",Gorontalo,Januari
48,P3rsada27,2021-06-28 01:32:20+00:00,"Sukseskan Program Vaksin Covid-19 untuk cegah varian Covid-19

Bersatu Kita Teguh https://t.co/0djmzChZ2q",Gorontalo,Januari
49,RenoVasi17,2021-06-28 00:58:35+00:00,"Bersama kita dukung vaksin dan patuh prokes 5M.

Bersatu Kita Teguh https://t.co/VJoFwclNs4",Gorontalo,Januari
0,rica_garo,2021-02-25 11:17:59+00:00,@azumy_zle Kasih dia vaksin,Gorontalo,Februari
1,numadayana,2021-02-01 06:10:45+00:00,Alhamdulillah vaksin ke dua untuk gubernur gorontalo https://t.co/5iNVwclW1L,Gorontalo,Februari
0,purmawan1,2021-03-04 08:39:23+00:00,"Alhamdulillah sdh di vaksin covid-19 @ Masjid Istiqlal,Jakarta Pusat https://t.co/trSaxQS3f6",Gorontalo,Maret
0,Earth_V3,2021-04-29 10:46:38+00:00,"@TamiaTriandini Twittr gaada option edit post yal. Lupa klo ada nomr induk lengkap jdi dhpus deh. Haha

Katamia dah vaksin? Pnsran d jepang pilih vaksin yg mana yaa",Gorontalo,April
1,NoldyRahman,2021-04-29 03:04:07+00:00,Vaksin @ Puskesmas Dulalowo https://t.co/wR2GodANUk,Gorontalo,April
2,IhzaDjakaria,2021-04-27 03:18:52+00:00,"Alhamdulillah, setelah menunggu beberapa lama, hari ini menerima vaksin Covid-19 tahap dua dan tetap melanjutkan puasa. 😁 https://t.co/mB0KDaQRug",Gorontalo,April
3,Franz4712,2021-04-05 23:41:36+00:00,"Astrazeneca,, vaksin idaman, kenapa tak diindahkan,,
#astrazeneca
#vaksinCovid19 https://t.co/vym7WGfeiP",Gorontalo,April
