,username,date,content,user_location,bulan
4,02Papua,2021-07-09 12:21:07+00:00,"Ini Dua Jenis Vaksin yang Diklaim Efektif Cegah Mutasi Virus Corona India

Yuk Disiplin PPKM

https://t.co/ySTh0zpBWH",Papua Barat,April
5,02Papua,2021-07-09 12:20:59+00:00,"Vaksin Moderna Sangat Efektif Cegah Covid-19 pada Remaja

Yuk Disiplin PPKM

https://t.co/MB2GOdJGOp",Papua Barat,April
6,02Papua,2021-07-09 12:20:49+00:00,"Vaksin Novavax Buatan AS Klaim 93% Efektif Cegah Covid-19

Yuk Disiplin PPKM

https://t.co/D557ZBm6CP",Papua Barat,April
7,02Papua,2021-07-09 12:20:41+00:00,"94 Persen Vaksin Pfizer Efektif Cegah Infeksi Covid-19 Tanpa Gejala

Yuk Disiplin PPKM

https://t.co/HpZ2h2FBoY",Papua Barat,April
8,yuslidar76,2021-07-08 08:38:13+00:00,Media Amerika Bongkar Data Negara yang Andalkan Vaksin China tapi Tingkat Infeksi Masih Tinggi,Papua Barat,April
9,KarebaNusantara,2021-07-05 06:02:43+00:00,"@Puspen_TNI Alhamdulillah, tadi pagi saya masih dapat vaksin gratis oleh petus TNI-AL yg melakukan vaksinasi di kampung Engjros, Jayapura.
Terimakasih TNI",Papua Barat,April
10,atopapua,2021-07-03 08:08:41+00:00,@galihrksiwi @kaesangp Abis di vaksin opo tho kok salah otak,Papua Barat,April
0,BesokPagi_,2021-05-29 03:17:48+00:00,"8 juta vaksin sinovac tiba di Indonesia. 

Nusantara Satu https://t.co/CQrIfEiTzv",Papua Barat,Mei
1,BesokPagi_,2021-05-29 03:17:46+00:00,"Pemerintah telah menerima 83,9 juta  dosis vaksin Covid-19
-
Nusantara Satu https://t.co/tlu3JZ2QFY",Papua Barat,Mei
2,BesokPagi_,2021-05-29 03:17:44+00:00,"Menjaga ketersediaan Vaksin
-
Nusantara Satu https://t.co/J1M2sXUijt",Papua Barat,Mei
3,IriawanSusilo,2021-05-29 01:03:36+00:00,"83,9 Juta Dosis Vaksin Covid-19 Untuk Rakyat Indonesia

Nusantara Bersatu https://t.co/9bZ2Jx52D7",Papua Barat,Mei
4,IriawanSusilo,2021-05-29 01:03:27+00:00,"Kabar Gembira!

8 Juta Dosis Vaksin Sinovac Tiba di Indonesia

Nusantara Bersatu https://t.co/wObbA91rtP",Papua Barat,Mei
0,GakLambeTurah,2021-06-27 00:26:36+00:00,"Gubernur Disuntik Vaksin Perdana di Gandus, Dinkes Sumsel: Kunci Kesuksesan Vaksinasi Tahap Selanjutnya Sukses
https://t.co/LUPCbCeRrv

Doa Untuk Bangsaku",Papua Barat,Juni
1,DamaiyantiRindu,2021-06-25 22:35:01+00:00,"Vaksin Efektif Mencegah Penularan Virus Covid Varian Delta
Disiplin Atasi Pandemi https://t.co/bpNEwKVZ3v",Papua Barat,Juni
2,GakLambeTurah,2021-06-08 07:37:03+00:00,"Mutasi virus Corona, kelangkaan vaksin, dan perkembangan wabah Covid-19 menjadi alasan Saudi belum mengumumkan mekanisme penyelenggaraan haji tahun ini,

Dana Haji Terjamin https://t.co/D75xYqb5Ys",Papua Barat,Juni
3,GakLambeTurah,2021-06-08 07:36:58+00:00,"Konsul Haji KJRI Jeddah Endang Jumali mengatakan bahwa kelangkaan vaksin dan mutasi Covid-19 menjadi alasan Saudi tak kunjung umumkan kuota ibadah haji tahun 2021.

Dana Haji Terjamin https://t.co/XtPZBBsLY4",Papua Barat,Juni
4,DamaiyantiRindu,2021-06-07 09:01:05+00:00,"Keputusan Arab saudi belum umumkan kuaota haji disebabkan karena kelangkaan Vaksin dan Mutasi Virus Covid-19
Dana Haji Aman
#StopHoaxDanaHaji https://t.co/oPIEJIyVcA",Papua Barat,Juni
5,IriawanSusilo,2021-06-04 01:30:13+00:00,"Ingat! 5M! Mari bersama, bersinergi, Sinergi Indonesia

#covid #covid19 #vaksin #vaksinasi https://t.co/a67rdjXbJo",Papua Barat,Juni
6,IriawanSusilo,2021-06-04 01:30:11+00:00,"#yukvaksinyuk yuk Sinergi bersama yuk, Sinergi Indonesia

#covid #covid19 #vaksin #vaksinasi https://t.co/6dFQKdXQ9C",Papua Barat,Juni
7,IriawanSusilo,2021-06-04 01:30:08+00:00,"Jangan lupa 5M

Tuntaskan Covid-19 bersama-sama, ayo Sinergi Indonesia

#covid #covid19 #vaksin #vaksinasi https://t.co/Lsf1UIjokR",Papua Barat,Juni
8,IriawanSusilo,2021-06-04 01:29:53+00:00,"Ayo Sinergi Indonesia

Kalahkan Covid-19! 

#covid #covid19 #vaksin #vaksinasi https://t.co/OseKoS5sC3",Papua Barat,Juni
9,IriawanSusilo,2021-06-04 01:29:36+00:00,"Tuntaskan Covid-19 bersama-sama, ayo Sinergi Indonesia

#covid #covid19 #vaksin #vaksinasi https://t.co/uheoTav595",Papua Barat,Juni
